question_id,foi_status,sub5b_answer,sub1_answer,same_answer,question_mode,operator_guess,operator_family,source_dataset,foi,nsvs_indices_empty_count,nsvs_indices_total_arrays,has_entry
137,clean,D,D,True,mc,always_before,always_before,bf,"[1470, 1694]",0,2,True
138,partial,C,C,True,mc,unknown,unknown,ct,"[2130, 4050]",1,2,True
139,partial,Yes,Yes,True,bool,unknown,unknown,ct,"[61, 3449]",1,2,True
140,partial,No,No,True,bool,in_turn_occurs,in_turn_occurs,agqa,"[0, 25]",1,2,True
141,clean,B,B,True,mc,always_before,always_before,bf,"[0, 434]",0,2,True
142,clean,B,B,True,mc,always_before,always_before,bf,"[1335, 2024]",0,2,True
143,partial,D,C,False,mc,until,until,star,"[0, 28]",1,2,True
144,partial,B,B,True,mc,always_before,always_before,ct,"[0, 6929]",1,2,True
145,clean,A,B,False,mc,always_before,always_before,bf,"[0, 510]",0,2,True
146,partial,Yes,No,False,bool,immediately_after,after,agqa,"[0, 55]",1,2,True
147,clean,Yes,Yes,True,bool,always_before,always_before,ct,"[5311, 5878]",0,2,True
148,partial,No,No,True,bool,since,since,agqa,"[0, 22]",1,2,True
149,clean,D,D,True,mc,always_before,always_before,bf,"[0, 539]",0,2,True
150,bypassed,No,No,True,bool,unknown,unknown,star,[-1],1,2,True
151,bypassed,A,A,True,mc,unknown,unknown,agqa,[-1],0,0,True
152,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
153,bypassed,No,Yes,False,bool,unknown,unknown,star,[-1],0,0,True
154,clean,D,D,True,mc,always_before,always_before,bf,"[2340, 2400]",0,2,True
155,bypassed,D,D,True,mc,unknown,unknown,star,[-1],0,0,True
156,bypassed,D,C,False,mc,unknown,unknown,agqa,[-1],0,0,True
157,bypassed,D,A,False,mc,unknown,unknown,ct,[-1],0,0,True
158,clean,B,B,True,mc,always_before,always_before,bf,"[0, 539]",0,2,True
159,partial,B,B,True,mc,until,until,star,"[0, 76]",1,2,True
160,partial,D,D,True,mc,until,until,star,"[0, 40]",1,2,True
161,partial,A,D,False,mc,unknown,unknown,ct,"[871, 8669]",1,2,True
162,clean,Yes,Yes,True,bool,unknown,unknown,star,"[0, 33]",0,2,True
163,bypassed,Yes,Yes,True,bool,unknown,unknown,bf,[-1],0,0,True
164,clean,Yes,Yes,True,bool,after,after,bf,"[2175, 2399]",0,2,True
165,partial,C,B,False,mc,immediately_after,after,star,"[0, 52]",1,2,True
166,clean,C,C,True,mc,always_before,always_before,bf,"[3871, 4198]",0,2,True
167,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,bf,"[45, 225]",0,2,True
168,partial,No,No,True,bool,always_before,always_before,star,"[0, 48]",1,2,True
169,bypassed,C,C,True,mc,since,since,agqa,[-1],0,0,True
170,partial,D,D,True,mc,always_before,always_before,bf,"[45, 705]",1,2,True
171,bypassed,A,A,True,mc,unknown,unknown,agqa,[-1],0,0,True
172,partial,Yes,Yes,True,bool,unknown,unknown,ct,"[1704, 10152]",1,2,True
173,clean,D,D,True,mc,always_before,always_before,bf,"[570, 1154]",0,2,True
174,partial,B,B,True,mc,before,before,ct,"[0, 5231]",1,2,True
175,clean,B,B,True,mc,always_before,always_before,bf,"[375, 825]",0,2,True
176,clean,A,B,False,mc,always_before,always_before,bf,"[825, 1304]",0,2,True
177,clean,A,D,False,mc,always_before,always_before,bf,"[0, 643]",0,2,True
178,bypassed,C,B,False,mc,unknown,unknown,agqa,[-1],0,0,True
179,clean,A,D,False,mc,always_before,always_before,bf,"[0, 494]",0,2,True
180,partial,B,B,True,mc,always_before,always_before,ct,"[2131, 6299]",1,2,True
181,clean,D,D,True,mc,always_before,always_before,bf,"[421, 943]",0,2,True
182,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
183,bypassed,C,C,True,mc,while,during,star,[-1],0,0,True
184,partial,Yes,Yes,True,bool,unknown,unknown,star,"[0, 38]",1,2,True
185,clean,A,B,False,mc,always_before,always_before,bf,"[0, 554]",0,2,True
186,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,ct,"[4321, 4679]",0,2,True
187,partial,B,B,True,mc,until,until,ct,"[0, 1032]",1,2,True
188,clean,No,No,True,bool,always_after,always_after,bf,"[315, 1005]",0,2,True
189,partial,D,D,True,mc,always_before,always_before,agqa,"[0, 26]",1,2,True
190,bypassed,C,C,True,mc,while,during,star,[-1],0,0,True
191,partial,C,C,True,mc,always_before,always_before,agqa,"[0, 21]",1,2,True
192,clean,Yes,No,False,bool,always_before,always_before,ct,"[1897, 2279]",0,2,True
193,clean,No,No,True,bool,always_before,always_before,ct,"[4172, 4945]",0,2,True
194,bypassed,C,C,True,mc,in_turn_occurs,in_turn_occurs,star,[-1],0,0,True
195,clean,A,A,True,mc,always_before,always_before,bf,"[0, 465]",0,2,True
196,bypassed,D,D,True,mc,unknown,unknown,star,[-1],0,0,True
197,bypassed,A,A,True,mc,always_before,always_before,bf,[-1],1,2,True
198,clean,No,Yes,False,bool,always_before,always_before,ct,"[5071, 7348]",0,2,True
199,bypassed,D,D,True,mc,immediately_after,after,star,[-1],0,0,True
200,partial,D,D,True,mc,since,since,star,"[0, 28]",1,2,True
201,bypassed,B,B,True,mc,before,before,star,[-1],0,0,True
202,partial,B,D,False,mc,until,until,star,"[0, 40]",1,2,True
203,clean,D,D,True,mc,always_before,always_before,ct,"[3421, 4349]",0,2,True
204,bypassed,No,No,True,bool,unknown,unknown,star,[-1],1,2,True
205,partial,Yes,Yes,True,bool,unknown,unknown,bf,"[60, 3964]",1,2,True
206,partial,Yes,No,False,bool,before,before,ct,"[2311, 2459]",1,2,True
207,clean,No,Yes,False,bool,after,after,ct,"[96, 720]",0,2,True
208,bypassed,C,A,False,mc,always_before,always_before,bf,[-1],0,2,True
209,bypassed,D,D,True,mc,always_before,always_before,bf,[-1],1,2,True
210,clean,A,A,True,mc,always_before,always_before,bf,"[0, 359]",0,2,True
211,bypassed,No,Yes,False,bool,immediately_after,after,agqa,[-1],0,0,True
212,clean,Yes,No,False,bool,immediately_after,after,agqa,"[0, 42]",0,2,True
213,clean,C,C,True,mc,always_before,always_before,bf,"[0, 749]",0,2,True
214,clean,C,C,True,mc,always_before,always_before,bf,"[1335, 1664]",0,2,True
215,clean,C,C,True,mc,always_before,always_before,bf,"[0, 659]",0,2,True
216,bypassed,D,D,True,mc,until,until,star,[-1],0,0,True
217,clean,C,B,False,mc,always_before,always_before,bf,"[2295, 2609]",0,2,True
218,clean,Yes,Yes,True,bool,until,until,agqa,"[0, 37]",0,2,True
219,partial,C,B,False,mc,always_after,always_after,agqa,"[0, 44]",1,2,True
220,clean,A,A,True,mc,always_before,always_before,bf,"[1395, 1829]",0,2,True
221,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
222,clean,C,C,True,mc,always_before,always_before,bf,"[465, 824]",0,2,True
223,bypassed,C,B,False,mc,always_before,always_before,bf,[-1],1,2,True
224,partial,Yes,No,False,bool,unknown,unknown,bf,"[270, 570]",1,2,True
225,clean,D,D,True,mc,always_before,always_before,bf,"[1290, 2369]",0,2,True
226,clean,Yes,Yes,True,bool,before,before,ct,"[5251, 5609]",0,2,True
227,bypassed,D,D,True,mc,after,after,star,[-1],0,0,True
228,partial,B,B,True,mc,while,during,agqa,"[0, 45]",1,2,True
229,partial,C,C,True,mc,when,when,star,"[0, 24]",1,2,True
230,partial,D,B,False,mc,before,before,ct,"[421, 8429]",1,2,True
231,partial,C,C,True,mc,always_before,always_before,ct,"[1321, 7319]",1,2,True
232,clean,C,C,True,mc,always_before,always_before,bf,"[660, 1109]",0,2,True
233,clean,C,C,True,mc,always_before,always_before,bf,"[0, 643]",0,2,True
234,clean,No,No,True,bool,always_before,always_before,agqa,"[0, 25]",0,2,True
235,partial,A,B,False,mc,after,after,agqa,"[0, 63]",1,2,True
236,clean,C,C,True,mc,always_before,always_before,bf,"[360, 630]",0,2,True
237,clean,B,A,False,mc,always_before,always_before,bf,"[1035, 1964]",0,2,True
238,clean,D,C,False,mc,in_turn_occurs,in_turn_occurs,ct,"[6955, 7393]",0,2,True
239,clean,D,D,True,mc,always_before,always_before,bf,"[735, 1294]",0,2,True
240,partial,D,D,True,mc,always_after,always_after,ct,"[312, 2135]",1,2,True
241,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,agqa,"[0, 38]",0,2,True
242,clean,No,No,True,bool,always_before,always_before,ct,"[751, 1469]",0,2,True
243,bypassed,A,A,True,mc,always_before,always_before,bf,[-1],0,0,True
244,clean,No,No,True,bool,in_turn_occurs,in_turn_occurs,agqa,"[0, 25]",0,2,True
245,bypassed,B,B,True,mc,always_before,always_before,star,[-1],1,2,True
246,clean,A,A,True,mc,always_before,always_before,bf,"[0, 524]",0,2,True
247,clean,A,A,True,mc,always_before,always_before,bf,"[420, 839]",0,2,True
248,partial,D,D,True,mc,before,before,agqa,"[0, 33]",1,2,True
249,bypassed,No,Yes,False,bool,until,until,ct,[-1],0,2,True
250,bypassed,No,No,True,bool,unknown,unknown,agqa,[-1],0,0,True
251,clean,Yes,No,False,bool,always_before,always_before,ct,"[3090, 6029]",0,2,True
252,clean,B,B,True,mc,always_before,always_before,bf,"[0, 1169]",0,2,True
253,clean,No,No,True,bool,always_before,always_before,star,"[0, 46]",0,2,True
254,clean,D,D,True,mc,always_before,always_before,bf,"[165, 435]",0,2,True
255,partial,Yes,No,False,bool,unknown,unknown,star,"[0, 47]",1,2,True
256,bypassed,D,B,False,mc,until,until,star,[-1],0,0,True
257,partial,B,B,True,mc,immediately_after,after,star,"[0, 18]",1,2,True
258,clean,D,C,False,mc,always_before,always_before,bf,"[240, 659]",0,2,True
259,partial,A,A,True,mc,before,before,ct,"[0, 11339]",1,2,True
260,bypassed,C,C,True,mc,unknown,unknown,agqa,[-1],0,0,True
261,bypassed,B,B,True,mc,since,since,agqa,[-1],0,0,True
262,partial,A,B,False,mc,since,since,agqa,"[0, 77]",1,2,True
263,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
264,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
265,clean,B,B,True,mc,always_before,always_before,bf,"[0, 405]",0,2,True
266,clean,C,C,True,mc,always_before,always_before,bf,"[1230, 1454]",0,2,True
267,partial,Yes,Yes,True,bool,unknown,unknown,ct,"[1968, 8040]",1,2,True
268,partial,D,D,True,mc,unknown,unknown,agqa,"[0, 18]",1,2,True
269,clean,B,B,True,mc,always_before,always_before,bf,"[2025, 2100]",0,2,True
270,bypassed,No,No,True,bool,before,before,agqa,[-1],0,0,True
271,bypassed,A,A,True,mc,unknown,unknown,agqa,[-1],0,0,True
272,clean,Yes,Yes,True,bool,always_before,always_before,ct,"[4141, 4529]",0,2,True
273,partial,A,A,True,mc,after,after,star,"[0, 15]",1,2,True
274,partial,D,D,True,mc,always_after,always_after,ct,"[1260, 1860]",1,2,True
275,clean,No,Yes,False,bool,always_before,always_before,ct,"[8251, 9208]",0,2,True
276,partial,A,A,True,mc,always_before,always_before,ct,"[1030, 5428]",1,2,True
277,clean,No,No,True,bool,since,since,star,"[0, 10]",0,2,True
278,bypassed,No,No,True,bool,unknown,unknown,star,[-1],0,0,True
279,partial,D,D,True,mc,always_before,always_before,ct,"[0, 3793]",1,2,True
280,clean,No,No,True,bool,until,until,ct,"[3541, 3989]",0,2,True
281,partial,D,B,False,mc,always_after,always_after,star,"[0, 15]",1,2,True
282,bypassed,D,D,True,mc,unknown,unknown,ct,[-1],0,0,True
283,partial,Yes,No,False,bool,unknown,unknown,ct,"[0, 3930]",1,2,True
284,clean,D,D,True,mc,always_before,always_before,bf,"[1125, 1289]",0,2,True
285,bypassed,B,C,False,mc,always_before,always_before,bf,[-1],0,2,True
286,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
287,partial,C,A,False,mc,until,until,star,"[0, 38]",1,2,True
288,clean,A,A,True,mc,always_before,always_before,bf,"[0, 1695]",0,2,True
289,partial,B,B,True,mc,before,before,ct,"[3000, 3936]",1,2,True
290,clean,C,D,False,mc,always_before,always_before,bf,"[240, 600]",0,2,True
291,clean,No,No,True,bool,always_before,always_before,ct,"[3031, 5488]",0,2,True
292,bypassed,D,D,True,mc,until,until,agqa,[-1],0,0,True
293,clean,B,A,False,mc,always_before,always_before,bf,"[1050, 1469]",0,2,True
294,bypassed,No,Yes,False,bool,unknown,unknown,agqa,[-1],0,0,True
295,clean,B,B,True,mc,always_before,always_before,bf,"[840, 1169]",0,2,True
296,partial,B,A,False,mc,before,before,star,"[0, 36]",1,2,True
297,partial,A,A,True,mc,before,before,star,"[0, 47]",1,2,True
298,clean,D,A,False,mc,always_before,always_before,bf,"[585, 1049]",0,2,True
299,partial,Yes,No,False,bool,in_turn_occurs,in_turn_occurs,star,"[0, 47]",1,2,True
300,clean,Yes,Yes,True,bool,after,after,agqa,"[0, 24]",0,2,True
301,bypassed,No,No,True,bool,in_turn_occurs,in_turn_occurs,bf,[-1],0,0,True
302,partial,No,No,True,bool,unknown,unknown,star,"[0, 21]",1,2,True
303,partial,C,C,True,mc,after,after,ct,"[624, 2333]",1,2,True
304,bypassed,No,Yes,False,bool,always_before,always_before,star,[-1],1,2,True
305,clean,D,D,True,mc,always_before,always_before,bf,"[1800, 3146]",0,2,True
306,bypassed,B,B,True,mc,in_turn_occurs,in_turn_occurs,agqa,[-1],1,2,True
307,partial,Yes,Yes,True,bool,unknown,unknown,agqa,"[0, 24]",1,2,True
308,clean,A,D,False,mc,always_before,always_before,bf,"[1005, 1364]",0,2,True
309,partial,D,D,True,mc,unknown,unknown,agqa,"[0, 49]",1,2,True
310,clean,No,No,True,bool,always_before,always_before,bf,"[0, 307]",0,2,True
311,clean,Yes,Yes,True,bool,always_before,always_before,ct,"[5221, 6299]",0,2,True
312,partial,Yes,No,False,bool,until,until,ct,"[390, 6120]",1,2,True
313,partial,B,B,True,mc,after,after,star,"[0, 39]",1,2,True
314,clean,A,A,True,mc,always_before,always_before,bf,"[240, 839]",0,2,True
315,clean,Yes,Yes,True,bool,always_before,always_before,ct,"[631, 1259]",0,2,True
316,partial,D,D,True,mc,always_after,always_after,ct,"[2016, 3653]",1,2,True
317,bypassed,B,B,True,mc,in_turn_occurs,in_turn_occurs,agqa,[-1],0,0,True
318,partial,C,C,True,mc,until,until,agqa,"[0, 25]",1,2,True
319,clean,A,B,False,mc,always_before,always_before,bf,"[630, 1095]",0,2,True
320,bypassed,Yes,Yes,True,bool,unknown,unknown,ct,[-1],0,0,True
321,bypassed,A,D,False,mc,since,since,agqa,[-1],0,0,True
322,clean,No,No,True,bool,since,since,star,"[0, 25]",0,2,True
323,clean,D,C,False,mc,always_before,always_before,bf,"[0, 675]",0,2,True
324,bypassed,No,No,True,bool,unknown,unknown,ct,[-1],0,0,True
325,clean,A,A,True,mc,always_before,always_before,bf,"[0, 644]",0,2,True
326,partial,Yes,Yes,True,bool,unknown,unknown,star,"[0, 42]",1,2,True
327,clean,Yes,No,False,bool,before,before,ct,"[541, 989]",0,2,True
328,clean,B,B,True,mc,always_before,always_before,bf,"[240, 929]",0,2,True
329,bypassed,A,A,True,mc,until,until,agqa,[-1],0,0,True
330,bypassed,C,C,True,mc,when,when,star,[-1],0,0,True
331,partial,B,B,True,mc,before,before,star,"[0, 31]",1,2,True
332,partial,C,B,False,mc,since,since,star,"[0, 39]",1,2,True
333,clean,No,No,True,bool,until,until,ct,"[4681, 5489]",0,2,True
334,bypassed,No,No,True,bool,always_before,always_before,agqa,[-1],0,0,True
335,bypassed,C,C,True,mc,while,during,agqa,[-1],0,0,True
336,clean,B,B,True,mc,always_before,always_before,bf,"[540, 1589]",0,2,True
337,clean,B,B,True,mc,always_before,always_before,bf,"[30, 404]",0,2,True
338,bypassed,C,D,False,mc,unknown,unknown,ct,[-1],0,0,True
339,bypassed,C,C,True,mc,always_after,always_after,star,[-1],0,0,True
340,partial,C,C,True,mc,always_before,always_before,ct,"[0, 13170]",1,2,True
341,partial,D,D,True,mc,unknown,unknown,star,"[0, 52]",1,2,True
342,clean,C,C,True,mc,always_before,always_before,bf,"[0, 210]",0,2,True
343,clean,D,B,False,mc,always_before,always_before,bf,"[1080, 1469]",0,2,True
344,partial,B,B,True,mc,always_before,always_before,star,"[0, 25]",1,2,True
345,clean,A,A,True,mc,always_before,always_before,bf,"[0, 833]",0,2,True
346,clean,C,C,True,mc,always_before,always_before,bf,"[240, 390]",0,2,True
347,bypassed,No,No,True,bool,immediately_after,after,agqa,[-1],1,2,True
348,bypassed,A,D,False,mc,always_before,always_before,star,[-1],0,0,True
349,bypassed,D,D,True,mc,immediately_after,after,star,[-1],0,0,True
350,bypassed,D,D,True,mc,unknown,unknown,ct,[-1],0,0,True
351,clean,Yes,Yes,True,bool,until,until,agqa,"[0, 3]",0,2,True
352,bypassed,No,No,True,bool,unknown,unknown,star,[-1],0,0,True
353,clean,B,B,True,mc,always_before,always_before,bf,"[46, 388]",0,2,True
